date,year,week_number,kill_number,bone_number,kill_weight,bone_weight,kill_Cost_$,bone_Cost_$,kill_cost_$/kg,bone_cost_$/kg,prod_ctn,prod_kg
16/01/2022,2022,3,350,187,"107,373","64,471","$952,222.08 ","$569,456.84 ",$8.87 ,$8.83 ,"3,265","58,951"
23/01/2022,2022,4,127,0,"36,034",0,"$329,417.59 ",$0.00 ,$9.14 ,$0.00 ,7,140
30/01/2022,2022,5,665,332,"217,696","115,695","$1,840,968.30 ","$987,991.20 ",$8.46 ,$8.54 ,"5,896","108,396"
6/02/2022,2022,6,825,396,"276,069","141,280","$2,318,692.30 ","$1,195,626.97 ",$8.40 ,$8.46 ,"7,144","130,348"
13/02/2022,2022,7,649,500,"231,118","187,979","$1,900,835.87 ","$1,563,561.24 ",$8.22 ,$8.32 ,"9,371","170,793"
20/02/2022,2022,8,680,386,"236,366","142,378","$1,983,831.35 ","$1,200,203.90 ",$8.39 ,$8.43 ,"7,169","131,552"
27/02/2022,2022,9,706,440,"246,252","168,711","$2,042,914.92 ","$1,423,228.97 ",$8.30 ,$8.44 ,"8,362","155,914"
6/03/2022,2022,10,728,454,"244,321","162,724","$2,112,929.35 ","$1,406,811.57 ",$8.65 ,$8.65 ,"8,118","149,121"
13/03/2022,2022,11,718,432,"248,840","158,772","$2,078,978.02 ","$1,350,637.33 ",$8.35 ,$8.51 ,"7,825","145,494"
20/03/2022,2022,12,570,339,"197,924","129,148","$1,673,709.64 ","$1,092,430.30 ",$8.46 ,$8.46 ,"6,300","118,649"
27/03/2022,2022,13,657,362,"214,089","129,998","$1,773,147.21 ","$1,086,961.93 ",$8.28 ,$8.36 ,"6,514","119,294"
3/04/2022,2022,14,511,306,"154,391","99,331","$1,300,985.71 ","$822,091.02 ",$8.43 ,$8.28 ,"5,162","91,153"
10/04/2022,2022,15,552,277,"177,826","94,617","$1,481,721.01 ","$775,206.51 ",$8.33 ,$8.19 ,"4,842","86,450"
17/04/2022,2022,16,491,270,"174,579","103,240","$1,461,596.64 ","$867,176.72 ",$8.37 ,$8.40 ,"4,991","93,635"
24/04/2022,2022,17,521,307,"186,402","120,017","$1,547,036.78 ","$1,000,514.63 ",$8.30 ,$8.34 ,"5,703","108,090"
1/05/2022,2022,18,519,305,"181,608","114,556","$1,500,308.42 ","$950,462.71 ",$8.26 ,$8.30 ,"5,545","104,275"
8/05/2022,2022,19,633,374,"200,983","128,431","$1,710,725.72 ","$1,089,591.03 ",$8.51 ,$8.48 ,"6,463","116,647"
15/05/2022,2022,20,570,340,"182,958","113,306","$1,590,474.02 ","$979,742.48 ",$8.69 ,$8.65 ,"5,720","103,816"
22/05/2022,2022,21,596,312,"185,636","100,847","$1,594,582.36 ","$865,594.09 ",$8.59 ,$8.58 ,"5,097","92,028"
29/05/2022,2022,22,644,360,"202,799","117,300","$1,724,320.51 ","$995,915.87 ",$8.50 ,$8.49 ,"5,834","107,036"
5/06/2022,2022,23,559,312,"171,387","99,813","$1,561,522.08 ","$885,316.83 ",$9.11 ,$8.87 ,"5,192","92,557"
12/06/2022,2022,24,613,321,"196,485","109,774","$1,678,689.97 ","$929,421.92 ",$8.54 ,$8.47 ,"5,308","98,823"
19/06/2022,2022,25,523,280,"170,722","98,138","$1,488,128.59 ","$874,378.44 ",$8.72 ,$8.91 ,"4,747","89,086"
